City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Mahebourg,MU,-20.4081,57.7,81.25,83,75,12.66,broken clouds,2022-02-06 03:33:29
60,Nemuro,JP,43.3236,145.575,27.03,64,99,23.29,overcast clouds,2022-02-06 03:33:30
61,Georgetown,MY,5.4112,100.3354,85.93,76,20,5.99,few clouds,2022-02-06 03:33:30
62,Ila,NO,63.4305,10.3705,37.96,63,100,1.01,overcast clouds,2022-02-06 03:33:31
63,Airai,TL,-8.9266,125.4092,73.15,68,64,3.2,broken clouds,2022-02-06 03:33:31
64,Asau,RO,46.4333,26.4,28.4,91,30,7.02,scattered clouds,2022-02-06 03:33:31
65,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,75,0,9.22,clear sky,2022-02-06 03:33:32
66,Longyearbyen,SJ,78.2186,15.6401,10.24,72,20,20.71,few clouds,2022-02-06 03:33:32
67,Coahuayana,MX,18.7333,-103.6833,69.06,87,4,4.25,clear sky,2022-02-06 03:29:34
68,Sinnamary,GF,5.3833,-52.95,76.69,89,100,8.57,overcast clouds,2022-02-06 03:33:33
69,Torbay,CA,47.6666,-52.7314,42.76,94,100,12.66,moderate rain,2022-02-06 03:33:34
70,Ribeira Grande,PT,38.5167,-28.7,59.58,75,3,12.77,clear sky,2022-02-06 03:33:34
71,Kitgum,UG,3.2783,32.8867,73.31,45,100,3.47,overcast clouds,2022-02-06 03:33:35
72,Launceston,AU,-41.45,147.1667,77.61,40,0,5.01,clear sky,2022-02-06 03:30:28
73,Nanortalik,GL,60.1432,-45.2371,9.81,59,100,13.47,overcast clouds,2022-02-06 03:33:35
74,Bengkulu,ID,-3.8004,102.2655,75.33,91,100,12.15,overcast clouds,2022-02-06 03:33:36
75,Ponta Do Sol,PT,32.6667,-17.1,66.13,52,56,12.95,broken clouds,2022-02-06 03:33:36
76,Nome,US,64.5011,-165.4064,-2.13,65,0,5.75,clear sky,2022-02-06 03:33:37
77,Tateyama,JP,34.9833,139.8667,47.14,36,96,5.03,overcast clouds,2022-02-06 03:33:38
78,Nagato,JP,34.3833,131.2,40.95,52,36,23.09,scattered clouds,2022-02-06 03:33:38
79,Punta Alta,AR,-38.8759,-62.0736,61.18,60,78,14.05,broken clouds,2022-02-06 03:30:11
80,Nyurba,RU,63.2842,118.3319,-4.11,96,100,3.62,overcast clouds,2022-02-06 03:33:39
81,Ojinaga,MX,29.5667,-104.4167,48.42,35,0,3.44,clear sky,2022-02-06 03:33:39
82,Butaritari,KI,3.0707,172.7902,82.8,75,95,17.0,overcast clouds,2022-02-06 03:33:39
83,Port Elizabeth,ZA,-33.918,25.5701,68.09,88,20,14.97,few clouds,2022-02-06 03:33:40
84,Russell,US,32.3502,-85.1999,38.8,79,0,4.97,clear sky,2022-02-06 03:30:21
85,Vila Do Maio,CV,15.1333,-23.2167,70.59,83,0,16.69,clear sky,2022-02-06 03:33:41
86,Kota Belud,MY,6.351,116.4305,87.66,58,62,5.46,broken clouds,2022-02-06 03:33:41
87,Balykshi,KZ,47.0667,51.8667,28.4,80,75,15.66,broken clouds,2022-02-06 03:33:42
88,Pevek,RU,69.7008,170.3133,-26.99,99,28,2.48,scattered clouds,2022-02-06 03:33:42
89,Ambulu,ID,-8.345,113.6058,86.47,66,10,4.43,clear sky,2022-02-06 03:33:42
90,Katsuura,JP,35.1333,140.3,42.91,29,43,7.16,scattered clouds,2022-02-06 03:34:43
91,Ostrovnoy,RU,68.0531,39.5131,14.07,83,100,28.32,overcast clouds,2022-02-06 03:34:43
92,Araouane,ML,18.9048,-3.5265,60.75,13,0,8.32,clear sky,2022-02-06 03:34:44
93,Saint-Prosper,CA,46.2117,-70.4811,-0.31,98,9,3.09,clear sky,2022-02-06 03:34:44
94,Talnakh,RU,69.4865,88.3972,-17.23,99,100,2.28,overcast clouds,2022-02-06 03:34:44
95,Guerrero Negro,MX,27.9769,-114.0611,60.62,57,0,12.33,clear sky,2022-02-06 03:34:45
96,Te Anau,NZ,-45.4167,167.7167,65.8,39,0,5.66,clear sky,2022-02-06 03:32:07
97,Vao,NC,-22.6667,167.4833,80.73,84,30,10.36,scattered clouds,2022-02-06 03:34:46
98,Hobyo,SO,5.3505,48.5268,75.9,70,15,13.27,few clouds,2022-02-06 03:34:46
99,Eureka,US,40.8021,-124.1637,47.93,86,8,1.41,clear sky,2022-02-06 03:34:47
100,Grand-Santi,GF,4.25,-54.3833,72.36,100,100,1.92,overcast clouds,2022-02-06 03:34:47
101,Maxixe,MZ,-23.8597,35.3472,75.83,85,61,14.14,light rain,2022-02-06 03:34:48
102,Narsaq,GL,60.9167,-46.05,1.62,70,100,5.91,overcast clouds,2022-02-06 03:34:48
103,Castro,BR,-24.7911,-50.0119,63.32,98,99,3.85,overcast clouds,2022-02-06 03:34:49
104,Avarua,CK,-21.2078,-159.775,82.45,74,40,14.97,scattered clouds,2022-02-06 03:34:49
105,Chernyshevskiy,RU,63.0128,112.4714,3.76,93,100,1.72,overcast clouds,2022-02-06 03:34:50
106,Bandarbeyla,SO,9.4942,50.8122,74.82,72,8,6.62,clear sky,2022-02-06 03:34:50
107,Port Alfred,ZA,-33.5906,26.891,70.23,88,42,23.8,scattered clouds,2022-02-06 03:34:51
108,Gat,IL,31.61,34.7642,52.39,100,70,6.22,broken clouds,2022-02-06 03:34:51
109,Puerto Carreno,CO,6.189,-67.4859,83.93,54,99,2.39,overcast clouds,2022-02-06 03:34:11
110,Saskylakh,RU,71.9167,114.0833,-28.19,100,98,2.73,overcast clouds,2022-02-06 03:34:52
111,Bluff,NZ,-46.6,168.3333,57.79,58,7,12.3,clear sky,2022-02-06 03:34:52
112,Portland,US,45.5234,-122.6762,46.85,88,0,5.01,clear sky,2022-02-06 03:34:53
113,Fortuna,US,40.5982,-124.1573,47.66,94,0,6.91,clear sky,2022-02-06 03:34:53
114,Malabo,GQ,3.75,8.7833,78.91,83,46,1.16,scattered clouds,2022-02-06 03:34:54
115,Pangnirtung,CA,66.1451,-65.7125,-33.95,93,100,6.17,overcast clouds,2022-02-06 03:34:54
116,Kruisfontein,ZA,-34.0033,24.7314,65.88,95,22,8.12,few clouds,2022-02-06 03:34:55
117,Minot,US,48.2325,-101.2963,34.79,86,100,14.97,mist,2022-02-06 03:34:55
118,Limon,CR,10.0,-83.0333,73.36,79,18,5.28,few clouds,2022-02-06 03:34:56
119,Chokurdakh,RU,70.6333,147.9167,-32.3,100,100,2.51,overcast clouds,2022-02-06 03:34:56
120,Klaksvik,FO,62.2266,-6.589,32.92,74,100,18.28,overcast clouds,2022-02-06 03:34:56
121,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,86,78,14.63,broken clouds,2022-02-06 03:34:57
122,Zhanaozen,KZ,43.3,52.8,27.7,78,99,10.74,overcast clouds,2022-02-06 03:34:57
123,Seoul,KR,37.5683,126.9778,35.2,30,20,16.11,few clouds,2022-02-06 03:34:58
124,Barrow,US,71.2906,-156.7887,-20.18,69,0,10.36,clear sky,2022-02-06 03:34:58
125,Puerto Ayora,EC,-0.7393,-90.3518,75.54,92,33,4.0,scattered clouds,2022-02-06 03:34:59
126,La Ronge,CA,55.1001,-105.2842,-3.75,71,100,2.3,overcast clouds,2022-02-06 03:30:21
127,Del Rio,US,29.3627,-100.8968,48.31,37,0,10.36,clear sky,2022-02-06 03:32:24
128,Tasiilaq,GL,65.6145,-37.6368,14.16,58,96,6.76,overcast clouds,2022-02-06 03:34:59
129,Kodiak,US,57.79,-152.4072,38.71,87,100,12.66,moderate rain,2022-02-06 03:33:19
130,Banswara,IN,23.55,74.45,68.45,23,3,5.44,clear sky,2022-02-06 03:35:00
131,Dongsheng,CN,39.8161,109.9776,18.1,36,100,4.85,overcast clouds,2022-02-06 03:31:31
132,Itarema,BR,-2.9248,-39.9167,77.25,89,7,8.68,clear sky,2022-02-06 03:35:01
133,Sisimiut,GL,66.9395,-53.6735,0.73,94,100,6.71,light snow,2022-02-06 03:35:02
134,Mar Del Plata,AR,-38.0023,-57.5575,61.88,75,100,5.99,overcast clouds,2022-02-06 03:36:02
135,Codrington,AU,-38.2667,141.9667,76.87,46,46,19.24,scattered clouds,2022-02-06 03:36:03
136,Dingle,PH,10.9995,122.6711,83.3,66,99,19.15,overcast clouds,2022-02-06 03:36:03
137,Copiapo,CL,-27.3667,-70.3333,68.7,58,0,1.66,clear sky,2022-02-06 03:36:04
138,Kosjeric,RS,43.9961,19.9069,31.35,98,75,2.89,broken clouds,2022-02-06 03:36:04
139,Henties Bay,NA,-22.116,14.2845,66.85,78,96,4.56,overcast clouds,2022-02-06 03:36:05
140,Chuy,UY,-33.6971,-53.4616,62.02,93,17,7.85,few clouds,2022-02-06 03:36:05
141,San Policarpo,PH,12.1791,125.5072,82.44,70,92,18.99,overcast clouds,2022-02-06 03:36:05
142,Chara,RU,56.9064,118.2631,-8.48,89,2,1.16,clear sky,2022-02-06 03:36:06
143,Husavik,IS,66.0449,-17.3389,30.11,87,100,20.36,light snow,2022-02-06 03:36:06
144,Bairiki,KI,1.3292,172.9752,87.8,70,20,11.5,few clouds,2022-02-06 03:36:07
145,Metz,FR,49.1191,6.1727,43.84,88,0,19.57,clear sky,2022-02-06 03:36:07
146,Flinders,AU,-34.5833,150.8552,72.05,62,88,16.69,overcast clouds,2022-02-06 03:36:08
147,Naraini,IN,25.1833,80.4833,61.45,43,0,3.51,clear sky,2022-02-06 03:36:08
148,Keetmanshoop,NA,-26.5833,18.1333,74.32,56,50,1.14,scattered clouds,2022-02-06 03:36:09
149,Saint-Augustin,CA,51.226,-58.6502,2.14,83,100,19.24,overcast clouds,2022-02-06 03:36:09
150,Victoria,HK,22.2855,114.1577,65.97,76,99,3.0,overcast clouds,2022-02-06 03:33:19
151,Poum,NC,-20.2333,164.0167,78.85,91,100,13.71,light rain,2022-02-06 03:32:11
152,Lompoc,US,34.6391,-120.4579,57.61,73,0,0.0,clear sky,2022-02-06 03:36:11
153,Veraval,IN,20.9,70.3667,68.52,63,2,5.93,clear sky,2022-02-06 03:36:11
154,Kavieng,PG,-2.5744,150.7967,83.64,74,100,8.43,light rain,2022-02-06 03:36:12
155,Sioux Lookout,CA,50.1001,-91.917,7.18,85,100,6.91,overcast clouds,2022-02-06 03:36:12
156,Goldap,PL,54.3063,22.3036,32.81,90,100,14.38,overcast clouds,2022-02-06 03:36:12
157,Srednekolymsk,RU,67.45,153.6833,-27.94,96,18,0.72,few clouds,2022-02-06 03:34:44
158,Matara,LK,5.9485,80.5353,81.81,63,43,7.9,scattered clouds,2022-02-06 03:36:13
159,Port Hardy,CA,50.6996,-127.4199,44.78,81,100,9.22,overcast clouds,2022-02-06 03:36:14
160,Iskateley,RU,67.6803,53.1512,3.67,92,100,12.48,overcast clouds,2022-02-06 03:36:14
161,Karasuk,RU,53.7377,78.0403,5.94,83,50,8.28,scattered clouds,2022-02-06 03:36:15
162,Busselton,AU,-33.65,115.3333,75.04,62,86,11.86,overcast clouds,2022-02-06 03:36:15
163,Mufumbwe,ZM,-13.6833,24.8,63.16,99,100,2.33,moderate rain,2022-02-06 03:36:16
164,Manzanillo,CU,20.3433,-77.1167,70.32,84,6,7.61,clear sky,2022-02-06 03:36:16
165,Mecca,SA,21.4267,39.8261,60.51,40,0,4.05,clear sky,2022-02-06 03:33:04
166,Sulangan,PH,11.1373,123.7228,80.87,73,99,14.92,overcast clouds,2022-02-06 03:36:17
167,Lavrentiya,RU,65.5833,-171.0,-16.83,95,27,11.01,scattered clouds,2022-02-06 03:36:17
168,Huron,US,41.1501,-82.5499,15.98,84,13,7.87,few clouds,2022-02-06 03:36:18
169,Mombaca,BR,-5.7431,-39.6275,72.27,84,100,3.0,overcast clouds,2022-02-06 03:36:18
170,Aldan,RU,58.6031,125.3894,0.18,86,87,2.37,overcast clouds,2022-02-06 03:36:18
171,Kununurra,AU,-15.7667,128.7333,84.18,79,75,11.5,broken clouds,2022-02-06 03:36:19
172,Arraial Do Cabo,BR,-22.9661,-42.0278,76.1,88,77,25.39,broken clouds,2022-02-06 03:36:19
173,Lodwar,KE,3.1191,35.5973,81.72,36,100,5.37,overcast clouds,2022-02-06 03:36:20
174,Saldanha,ZA,-33.0117,17.9442,60.85,76,64,6.15,broken clouds,2022-02-06 03:36:20
175,Yumen,CN,40.2833,97.2,17.26,60,100,18.97,overcast clouds,2022-02-06 03:36:21
176,Butembo,CD,0.15,29.2833,58.69,74,100,2.19,overcast clouds,2022-02-06 03:33:37
177,Wanning,CN,18.8003,110.3967,71.08,75,96,10.78,overcast clouds,2022-02-06 03:36:22
178,Akyab,MM,20.15,92.9,73.02,55,100,8.25,overcast clouds,2022-02-06 03:36:22
179,Fredericksburg,US,38.3032,-77.4605,28.62,58,0,1.99,clear sky,2022-02-06 03:33:29
180,Walla Walla,US,46.0646,-118.343,45.86,80,0,3.0,clear sky,2022-02-06 03:35:52
181,Piriyapatna,IN,12.3397,76.0992,70.52,60,47,6.67,scattered clouds,2022-02-06 03:37:23
