City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Brigantine,US,2022-02-03 02:37:49,39.4101,-74.3646,43.0,97,96,3.38
68,East London,ZA,2022-02-03 02:37:49,-33.0153,27.9116,73.72,94,93,8.03
69,Provideniya,RU,2022-02-03 02:37:49,64.3833,-173.3,2.41,72,100,21.0
70,Airai,TL,2022-02-03 02:37:28,-8.9266,125.4092,71.78,65,100,5.3
71,Tocopilla,CL,2022-02-03 02:37:50,-22.092,-70.1979,69.58,73,2,9.4
72,Kushiro,JP,2022-02-03 02:37:51,42.975,144.3747,27.55,68,40,8.05
73,Hermanus,ZA,2022-02-03 02:37:51,-34.4187,19.2345,65.89,84,0,13.35
74,Mingguang,CN,2022-02-03 02:37:52,32.7802,117.9638,41.04,62,32,5.35
75,Boueni,YT,2022-02-03 02:37:52,-12.9025,45.0761,78.78,75,98,11.3
76,Nizhniy Ingash,RU,2022-02-03 02:37:53,56.2,96.53,2.91,95,100,3.02
77,Zhanaozen,KZ,2022-02-03 02:37:53,43.3,52.8,38.3,66,57,15.88
78,Ontario,US,2022-02-03 02:37:07,34.0633,-117.6509,59.81,18,0,4.0
79,Dikson,RU,2022-02-03 02:37:54,73.5069,80.5464,-5.66,95,100,13.33
80,Olafsvik,IS,2022-02-03 02:37:54,64.8945,-23.7142,28.56,52,18,2.46
81,Progreso,MX,2022-02-03 02:37:55,21.2833,-89.6667,82.51,65,1,14.36
82,San Antonio,US,2022-02-03 02:37:16,29.4241,-98.4936,48.11,85,100,5.99
83,Hereford,GB,2022-02-03 02:37:55,52.0568,-2.7148,48.0,93,100,1.01
84,Paamiut,GL,2022-02-03 02:37:56,61.994,-49.6678,19.69,79,100,21.56
85,Nikolskoye,RU,2022-02-03 02:37:56,59.7035,30.7861,17.49,100,94,1.28
86,Padang,ID,2022-02-03 02:37:57,-0.9492,100.3543,78.85,66,68,1.01
87,Tiksi,RU,2022-02-03 02:37:57,71.6872,128.8694,-3.12,92,100,11.1
88,Tecoanapa,MX,2022-02-03 02:37:58,16.5167,-98.75,75.63,70,0,5.82
89,Tuktoyaktuk,CA,2022-02-03 02:37:58,69.4541,-133.0374,-20.2,69,75,13.8
90,Biak,ID,2022-02-03 02:37:59,-0.9131,122.8766,84.2,61,100,0.92
91,Vaini,TO,2022-02-03 02:37:59,-21.2,-175.2,86.16,74,20,8.05
92,Catuday,PH,2022-02-03 02:39:00,16.2923,119.8062,80.64,61,5,8.95
93,Namibe,AO,2022-02-03 02:39:00,-15.1961,12.1522,70.93,73,34,7.09
94,Saldanha,ZA,2022-02-03 02:37:24,-33.0117,17.9442,62.65,90,0,8.28
95,Nemuro,JP,2022-02-03 02:39:01,43.3236,145.575,30.63,66,5,7.31
96,Turek,PL,2022-02-03 02:39:01,52.0155,18.5005,33.98,94,41,7.67
97,Sistranda,NO,2022-02-03 02:39:02,63.7256,8.834,33.91,60,100,17.4
98,San Cristobal,VE,2022-02-03 02:39:03,7.7669,-72.225,73.58,60,9,1.61
99,Zlatibor,RS,2022-02-03 02:39:03,43.7168,19.7,24.98,97,100,5.44
